SubcategoryIDOld,CategoryIDOld,InstitutionID,SubcategoryTitle,SubcategoryIDNew,CategoryIDNew,SubcategoryTitleNew
3523,182,47,"New Battery ",NULL,NULL,NULL
3524,182,47,"Battery Repairs",NULL,NULL,NULL
3525,442,47,"Set of carpet ",NULL,NULL,NULL
3526,70,47,"Mrs Adewuyi",NULL,NULL,NULL
3532,94,47,speaker,NULL,NULL,NULL
3535,115,47,"Burial support",NULL,NULL,NULL
3536,94,47,"Street security",NULL,NULL,NULL
3601,66,47,"Furniture and fittings",NULL,NULL,NULL
3602,66,47," Foreign plastic chairs and desks",NULL,NULL,NULL
3603,66,47,"fixing of the desks",NULL,NULL,NULL
3604,94,47,"cottons Replaced ",NULL,NULL,NULL
3605,144,47,"Repairs and Replacement of Gum",NULL,NULL,NULL
3606,100,47,"Tablats soap",NULL,NULL,NULL
3607,100,47,"cleaning Agents supplied",NULL,NULL,NULL
3608,119,47,"plumbing work",NULL,NULL,NULL
3609,144,47,"Gear oil",NULL,NULL,NULL
3610,458,47,"the 3 buses",NULL,NULL,NULL
3611,459,47," payment for playing house",NULL,NULL,NULL
3612,61,47,"fumigation and cleaning ",NULL,NULL,NULL
3613,95,47,"C.D Plates for pre - nursery class ",NULL,NULL,NULL
3614,79,47,"photocopy machine repairs",NULL,NULL,NULL
3615,460,47,"Generator repairs",NULL,NULL,NULL
3616,460,47,"servicing of the generator",NULL,NULL,NULL
3617,67,47,"Estate security ",NULL,NULL,NULL
3618,185,47,"Estate Security",NULL,NULL,NULL
3619,100,47,Toilatries,NULL,NULL,NULL
3620,459,47,"construction of play house",NULL,NULL,NULL
3621,461,47,"paid for vest ",NULL,NULL,NULL
3624,462,47,"Purchase 3 Footmat @",NULL,NULL,NULL
3625,131,47,"sporty items",NULL,NULL,NULL
3658,461,47,"transportation for the vest supplied",NULL,NULL,NULL
3659,143,47,"Gum ",NULL,NULL,NULL
3660,144,47,"Repairs and Replacent of bus particules",NULL,NULL,NULL
3661,459,47,"playing house Repairs",NULL,NULL,NULL
3662,143,47,"power steering replaced",NULL,NULL,NULL
3663,143,47,"fixing of Bowrice",NULL,NULL,NULL
3664,94,47,"cutting of grasses outside the school",NULL,NULL,NULL
3665,144,47,"fixing of school bus doors",NULL,NULL,NULL
3666,144,47,"fuel injector",NULL,NULL,NULL
3667,137,47,"Fuel Injector",NULL,NULL,NULL
3668,137,47,"master Brake",NULL,NULL,NULL
3669,144,47,"plate Number Renewal",NULL,NULL,NULL
3670,70,47,"Mrs johnson",NULL,NULL,NULL
3671,144,47,"fixing of coil",NULL,NULL,NULL
3672,103,47,"insectide ( creche)",NULL,NULL,NULL
